matrix,perm,perm_type,rows,cols,nnz,density,bandwidth_lower,bandwidth_upper,bandwidth_max,bandwidth_avg,locality_profile,locality_avg_row_spread,locality_num_empty_rows,block_density_4,nonzero_blocks_4,total_blocks_4,block_density_8,nonzero_blocks_8,total_blocks_8,block_density_16,nonzero_blocks_16,total_blocks_16,block_density_32,nonzero_blocks_32,total_blocks_32,block_density_64,nonzero_blocks_64,total_blocks_64,block_density_128,nonzero_blocks_128,total_blocks_128
bcspwr10.mtx,random1D,SYMMETRIC,5300,5300,21842,0.0007775720897116411,5200,5200,5200,1322.9821444922627,16210953,3058.6703773584904,0,0.07669672453508625,17799,1755625,0.020202524714378736,16893,439569,0.005455262947570333,15640,110224,0.0017044972131213042,12514,27556,0.0008492625467829272,6279,6889,0.0007566003875212826,1762,1764
bcspwr10.mtx,SB_amd,SYMMETRIC,5300,5300,21842,0.0007775720897116411,5235,5235,5235,1334.2713121509018,16286158,3072.86,0,0.07711263627633734,17703,1755625,0.02036648863161664,16757,439569,0.0055031161313209495,15504,110224,0.0017226682381683088,12382,27556,0.0008580079696299276,6215,6889,0.0007557425639526644,1764,1764
bcsstk08.mtx,random1D,SYMMETRIC,1074,1074,12960,0.011235604381885709,1053,1053,1053,323.04305555555555,904020,841.731843575419,0,0.07901668129938542,10251,72361,0.026356891839125342,7683,18225,0.012934338272866632,3914,4624,0.010948313148788927,1156,1156,0.010948313148788927,289,289,0.009765625,81,81
bcsstk08.mtx,SB_amd,SYMMETRIC,1074,1074,12960,0.011235604381885709,1054,1054,1054,238.45632716049383,692461,644.7495344506518,0,0.09974141115626155,8121,72361,0.038964787377333075,5197,18225,0.01859845701689934,2722,4624,0.012862042682926829,984,1156,0.011180432862190812,283,289,0.009765625,81,81
bcsstk09.mtx,random1D,SYMMETRIC,1083,1083,18437,0.01571930506637883,1075,1075,1075,337.48408092422846,1033351,954.1560480147738,0,0.07317663681971169,15747,73441,0.025390280715670722,11346,18496,0.015961775542996454,4512,4624,0.015575158142301038,1156,1156,0.015575158142301038,289,289,0.013892656491126544,81,81
bcsstk09.mtx,SB_amd,SYMMETRIC,1083,1083,18437,0.01571930506637883,940,940,940,228.41091283831426,655899,605.6315789473684,0,0.13134760059272768,8773,73441,0.06251695421006945,4608,18496,0.031123392934312877,2314,4624,0.017791386178359684,1012,1156,0.015793756853070176,285,289,0.013892656491126544,81,81
bcsstk10.mtx,random1D,SYMMETRIC,1086,1086,22070,0.018712968332943305,1080,1080,1080,346.5134571816946,1060707,976.7099447513813,0,0.07444009713977334,18530,73984,0.026978856986387106,12782,18496,0.018757819299390775,4596,4624,0.018644233888408305,1156,1156,0.018644233888408305,289,289,0.01663019627700617,81,81
bcsstk10.mtx,SB_amd,SYMMETRIC,1086,1086,22070,0.018712968332943305,467,467,467,90.76456728590847,321746,296.2670349907919,0,0.15363945199376253,8978,73984,0.07113113655115512,4848,18496,0.04394033511722732,1962,4624,0.033363365905572755,646,1156,0.030441715218926555,177,289,0.02541596034787736,53,81
bcsstk11.mtx,random1D,SYMMETRIC,1473,1473,34241,0.01578123350888521,1454,1454,1454,471.8922928652785,1941008,1317.7243720298711,0,0.07216045115824257,29657,136161,0.025321388849448626,21129,34225,0.01605881933605475,8329,8649,0.015502307168521095,2157,2209,0.014822019752881206,564,576,0.014513227674696181,144,144
bcsstk11.mtx,SB_amd,SYMMETRIC,1473,1473,34241,0.01578123350888521,1379,1379,1379,191.3164335153763,806414,547.4636795655125,0,0.21618976664309525,9899,136161,0.09747050920021862,5489,34225,0.04876190530441123,2743,8649,0.02920390966157205,1145,2209,0.022233029629321808,376,576,0.01801642056169181,116,144
bcsstk12.mtx,random1D,SYMMETRIC,1473,1473,34241,0.01578123350888521,1457,1457,1457,469.2727432025934,1950353,1324.0685675492193,0,0.07200506375963124,29721,136161,0.02530222865925751,21145,34225,0.01603571589137993,8341,8649,0.01554554930846118,2151,2209,0.015035286224145683,556,576,0.014513227674696181,144,144
bcsstk12.mtx,SB_amd,SYMMETRIC,1473,1473,34241,0.01578123350888521,1379,1379,1379,191.3164335153763,806414,547.4636795655125,0,0.21618976664309525,9899,136161,0.09747050920021862,5489,34225,0.04876190530441123,2743,8649,0.02920390966157205,1145,2209,0.022233029629321808,376,576,0.01801642056169181,116,144
bcsstk13.mtx,random1D,SYMMETRIC,2003,2003,83883,0.020907979019987245,1999,1999,1999,653.8972855048103,3755602,1874.9885172241638,0,0.07503381231125932,69871,251001,0.028970886474657943,45241,63001,0.020889198568787452,15686,15876,0.020639201861300076,3969,3969,0.019999265670776367,1024,1024,0.019999265670776367,256,256
bcsstk13.mtx,SB_amd,SYMMETRIC,2003,2003,83883,0.020907979019987245,1972,1972,1972,374.48267229355173,2536680,1266.4403394907638,0,0.14502192193853558,36151,251001,0.06813286245256536,19237,63001,0.03768897731193927,8694,15876,0.02549548465219421,3213,3969,0.021244033243646265,964,1024,0.019999265670776367,256,256
bcspwr10.mtx,None,ROW,5300,5300,21842,0.0007775720897116411,5189,5189,5189,1256.9999084332937,15065191,2842.488867924528,0,0.08212266137279672,16623,1755625,0.022699118722979715,15035,439569,0.006525953227780328,13074,110224,0.002192197135149024,9730,27556,0.0010801133342616975,4937,6889,0.0008109062547521289,1644,1764
bcsstk08.mtx,None,ROW,1074,1074,12960,0.011235604381885709,590,590,590,136.06064814814815,425293,395.9897579143389,0,0.19271948608137046,4203,72361,0.1023244062657908,1979,18225,0.05502717391304348,920,4624,0.031020220588235295,408,1156,0.019411426380368097,163,289,0.014382102272727272,55,81
bcsstk09.mtx,None,ROW,1083,1083,18437,0.01571930506637883,62,62,62,41.40879752671259,124904,115.331486611265,0,0.40905662051828184,2817,73441,0.24748979810996563,1164,18496,0.1572478848253275,458,4624,0.10978587080792683,164,1156,0.09186164700255102,49,289,0.04501220703125,25,81
bcsstk10.mtx,None,ROW,1086,1086,22070,0.018712968332943305,37,37,37,20.920163117353873,74086,68.21915285451198,0,0.41572483423749246,3318,73984,0.2912531672297297,1184,18496,0.19504736990950225,442,4624,0.13815855368589744,156,1156,0.10996293048469388,49,289,0.0538818359375,25,81
bcsstk11.mtx,None,ROW,1473,1473,34241,0.01578123350888521,650,650,650,62.31120586431471,267190,181.39171758316363,0,0.5309011411560407,4031,136161,0.34273902946828955,1561,34225,0.17953544463087248,745,8649,0.1332210221613546,251,2209,0.09951927548363096,84,576,0.04543271272078804,46,144
bcsstk12.mtx,None,ROW,1473,1473,34241,0.01578123350888521,650,650,650,62.31120586431471,267190,181.39171758316363,0,0.5309011411560407,4031,136161,0.34273902946828955,1561,34225,0.17953544463087248,745,8649,0.1332210221613546,251,2209,0.09951927548363096,84,576,0.04543271272078804,46,144
bcsstk13.mtx,None,ROW,2003,2003,83883,0.020907979019987245,1250,1250,1250,125.61167340223884,892686,445.6744882675986,0,0.3901680062513954,13437,251001,0.256140683017393,5117,63001,0.15753267728365383,2080,15876,0.10051164685582822,815,3969,0.06872230888213088,298,1024,0.04196567222720287,122,256
